HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.09799188 0.175665 2.797801;-0.09591578 0.2398668 2.855484;-0.1034105 0.6104779 2.854485;-0.1219233 0.816507 2.834463;-0.2787244 0.4773321 2.86129;-0.3546396 0.2373058 2.878226;-0.3547405 0.06457103 2.709096;-0.328557 -0.001757838 2.636266;0.06701986 0.4851099 2.842386;0.1447937 0.2417808 2.844079;0.1164009 0.0831348 2.683408;0.06952909 0.02332716 2.615471;-0.1748272 0.09711315 2.784563;-0.2277559 -0.4481074 2.7704;-0.261591 -0.8274464 2.733207;-0.2933151 -0.8833313 2.693387;-0.01924232 0.1006132 2.786072;0.05283267 -0.4353158 2.720618;0.07888673 -0.8158773 2.741473;0.09939956 -0.8678488 2.681236;0
-0.09679587 0.1749393 2.798888;-0.09489384 0.2394974 2.856359;-0.1032871 0.6105547 2.854734;-0.1218901 0.8159786 2.834134;-0.2785921 0.4773069 2.861762;-0.3520221 0.2396948 2.881538;-0.3475791 0.07930717 2.710246;-0.3161676 0.01266337 2.639851;0.06775992 0.4849404 2.84205;0.1504577 0.2458039 2.841655;0.1105181 0.0952238 2.677167;0.04906137 0.0480903 2.612557;-0.173332 0.09603453 2.786602;-0.227554 -0.447255 2.770782;-0.2614867 -0.8270923 2.73333;-0.2932856 -0.8832713 2.693477;-0.01758115 0.09956833 2.786891;0.05427016 -0.4343052 2.719589;0.08164165 -0.817519 2.739928;0.09981915 -0.8682556 2.680299;0
-0.09637506 0.174752 2.799396;-0.09446317 0.2394551 2.856682;-0.1031103 0.6105818 2.854616;-0.1218907 0.8158791 2.834049;-0.2783115 0.4772534 2.862147;-0.3454354 0.2473879 2.891098;-0.3326207 0.102313 2.725336;-0.3023343 0.03688427 2.634977;0.06826232 0.4848818 2.841471;0.1647554 0.2530491 2.828156;0.1008162 0.105967 2.672804;0.01549453 0.08400839 2.615704;-0.1721486 0.09544756 2.789794;-0.2274761 -0.4471105 2.770884;-0.2614486 -0.8270022 2.73336;-0.2932807 -0.8832618 2.693491;-0.01718938 0.09934808 2.787134;0.05528652 -0.4336232 2.719089;0.0842545 -0.8183141 2.738696;0.09992919 -0.8684047 2.679919;0
-0.09453535 0.173894 2.801387;-0.09198005 0.2390918 2.857972;-0.1008181 0.6096894 2.852884;-0.121916 0.8150305 2.833112;-0.2758692 0.4767081 2.863513;-0.326961 0.2554586 2.910336;-0.3078965 0.119741 2.743299;-0.2848299 0.0831332 2.634939;0.07079919 0.4841989 2.836333;0.1793595 0.2529266 2.790161;0.06566683 0.1247156 2.65214;-0.03488005 0.1196256 2.612956;-0.1672525 0.09328797 2.799986;-0.2273132 -0.4470326 2.77105;-0.261411 -0.8269104 2.733395;-0.2933177 -0.8832679 2.693533;-0.01633179 0.09889031 2.787699;0.0580417 -0.4321421 2.719149;0.08838339 -0.8203595 2.737617;0.1002224 -0.8689032 2.678395;0
-0.08199739 0.159967 2.81038;-0.07718416 0.2303709 2.86256;-0.09555755 0.6077433 2.849665;-0.1215058 0.8124483 2.830631;-0.2658594 0.4732577 2.873022;-0.2954529 0.2572223 2.936307;-0.2704046 0.1465108 2.751513;-0.2718642 0.1284219 2.65064;0.07585585 0.4819019 2.822223;0.1833727 0.2463535 2.748868;0.004000926 0.1680266 2.64694;-0.1001437 0.1730645 2.629315;-0.1508347 0.07608314 2.822001;-0.2256484 -0.4474164 2.773575;-0.2613771 -0.8268243 2.733438;-0.293357 -0.8832692 2.693575;-0.007473131 0.08826937 2.791135;0.06222818 -0.4305798 2.721761;0.09160095 -0.8219185 2.736624;0.1005118 -0.8694196 2.677044;0
-0.06671228 0.1283616 2.822577;-0.05728817 0.2079813 2.868176;-0.08737669 0.6048191 2.845416;-0.1207755 0.804713 2.825354;-0.2507006 0.4710703 2.88648;-0.2582196 0.2721927 2.968874;-0.2580348 0.1741002 2.722085;-0.2719046 0.1548914 2.633994;0.07996593 0.480054 2.808226;0.1748825 0.245879 2.698371;-0.04771519 0.2046576 2.642666;-0.121056 0.206519 2.637524;-0.1354272 0.04915917 2.842324;-0.2212821 -0.4496064 2.783454;-0.2613543 -0.8267419 2.733527;-0.2933877 -0.883256 2.693567;0.004818175 0.05785161 2.798266;0.06677166 -0.429494 2.725828;0.09394554 -0.8230851 2.735941;0.100747 -0.8700106 2.67592;7
-0.06105204 0.1190374 2.827352;-0.04762327 0.2001595 2.86949;-0.0788025 0.602406 2.840807;-0.1199947 0.7993691 2.821357;-0.2307314 0.4728936 2.905251;-0.2399245 0.2780782 2.981112;-0.1836135 0.2425676 2.696263;-0.2047293 0.2305346 2.614057;0.08254288 0.4769167 2.78402;0.1669173 0.2475468 2.669791;-0.1123268 0.250981 2.659736;-0.1968235 0.2414446 2.678475;-0.1291152 0.04251558 2.851168;-0.215052 -0.4539813 2.798463;-0.2612258 -0.8264605 2.735019;-0.293502 -0.8829703 2.692686;0.008892221 0.0488703 2.800805;0.07063808 -0.4289466 2.729682;0.09567551 -0.8239137 2.735413;0.1009364 -0.87054 2.674994;7
-0.05778654 0.1138828 2.830073;-0.04128214 0.1959889 2.869543;-0.07282389 0.6008946 2.837534;-0.1194334 0.7957876 2.818645;-0.2113642 0.4741197 2.921854;-0.2170096 0.2813304 2.976856;-0.1248035 0.2992816 2.662593;-0.146936 0.2897268 2.581767;0.08078276 0.4749901 2.762253;0.1444445 0.2517774 2.629998;-0.1047858 0.255618 2.649853;-0.2016033 0.2547616 2.685619;-0.1240867 0.03970129 2.857683;-0.2090504 -0.4565498 2.813247;-0.2606918 -0.8254153 2.743307;-0.2934972 -0.8821225 2.692345;0.01115859 0.04411156 2.80213;0.07367706 -0.4285843 2.732754;0.09695823 -0.824496 2.735029;0.1010928 -0.8709878 2.674254;7
-0.05532539 0.1105902 2.832154;-0.03584427 0.193818 2.868552;-0.06819507 0.6003308 2.835508;-0.1189675 0.7931547 2.816977;-0.1937566 0.474408 2.93735;-0.2028176 0.2829499 2.973659;-0.1039601 0.3187037 2.653505;-0.1261033 0.3110169 2.572502;0.07483491 0.4720075 2.74179;0.1246941 0.2585917 2.606068;-0.1136655 0.262908 2.645408;-0.2053532 0.2660096 2.693604;-0.1178035 0.04100791 2.864076;-0.2023238 -0.4543535 2.828105;-0.2576429 -0.8209782 2.770207;-0.2954393 -0.876424 2.70295;0.01262516 0.04101047 2.803075;0.07587041 -0.428347 2.734903;0.09785365 -0.8249034 2.734758;0.1012303 -0.8713793 2.673794;7
-0.0534592 0.1097983 2.833895;-0.03160921 0.1934256 2.867092;-0.06449531 0.6003121 2.834562;-0.1185228 0.7911617 2.81614;-0.1786418 0.4755098 2.944969;-0.1895006 0.2847491 2.968091;-0.2533188 0.2761447 2.738925;-0.2558441 0.2852297 2.661153;0.0699409 0.4706617 2.728887;0.08445793 0.2735993 2.582212;-0.1339294 0.2851333 2.650218;-0.1961171 0.3144519 2.710888;-0.1117485 0.04476158 2.868881;-0.1986424 -0.4524564 2.838185;-0.2516374 -0.8271453 2.820591;-0.3031798 -0.8795986 2.758042;0.01124773 0.04439117 2.803203;0.07746301 -0.4281795 2.73635;0.09843422 -0.8252069 2.734536;0.1013622 -0.8717106 2.673466;7
